"full_name","H","albedo","diameter_sigma","e","a","i"
" 65679 (1989 UQ)",19.61,0.033,0.01,0.2645,0.9148,1.30
" 65690 (1991 DG)",19.06,,,0.3633,1.428,11.14
" 65706 (1992 NA)",16.57,,,0.5552,2.398,9.63
" 65717 (1993 BX3)",20.87,,,0.2810,1.395,2.81
" 65733 (1993 PC)",18.37,,,0.4744,1.154,4.14
" 65803 Didymos (1996 GT)",18.11,,0.03,0.3832,1.643,3.41
" 65909 (1998 FH12)",19.30,,,0.5397,1.091,3.56
" 65996 (1998 MX5)",18.49,,,0.6061,2.931,9.56
" 66008 (1998 QH2)",15.93,0.319,0.28,0.3627,1.426,61.01
" 66063 (1998 RO1)",18.15,,,0.7200,0.991,22.69
" 66146 (1998 TU3)",14.36,0.224,1.17,0.4837,0.7875,5.42
" 66251 (1999 GJ2)",16.99,0.187,0.23,0.1981,1.536,11.28
" 66253 (1999 GT3)",18.40,,,0.8378,1.334,19.50
" 66272 (1999 JW6)",17.22,0.400,0.01,0.1433,1.508,51.31
" 66391 Moshup (1999 KW4)",16.64,,0.04,0.6884,0.6424,38.88
" 66400 (1999 LT7)",19.27,0.182,0.08,0.5725,0.8554,9.06
" 66407 (1999 LQ28)",18.84,,,0.1201,1.199,21.77
" 66959 (1999 XO35)",16.94,,,0.5654,2.538,20.62
" 67367 (2000 LY27)",17.08,,,0.2126,1.309,9.02
" 67381 (2000 OL8)",19.80,,,0.5429,1.321,10.67
" 67399 (2000 PJ6)",18.41,,,0.3461,1.301,14.69
" 68031 (2000 YK29)",18.13,,,0.1285,1.376,15.17
" 68063 (2000 YJ66)",15.56,0.211,0.07,0.4577,2.334,5.72
" 68216 (2001 CV26)",16.57,0.449,0.04,0.3267,1.32,17.99
" 68267 (2001 EA16)",16.99,0.401,0.04,0.4273,1.51,38.82
" 68278 (2001 FC7)",18.47,0.087,0.04,0.1143,1.436,2.62
" 68346 (2001 KZ66)",16.92,0.291,0.21,0.4165,1.507,16.70
" 68347 (2001 KB67)",19.92,,,0.3799,0.9617,17.13
" 68348 (2001 LO7)",14.27,0.299,0.13,0.8409,2.155,25.36
" 68350 (2001 MK3)",16.14,0.219,0.33,0.2475,1.67,29.57
" 68359 (2001 OZ13)",18.07,,,0.1742,1.517,9.86
" 68372 (2001 PM9)",18.95,,,0.4156,1.618,8.11
" 68548 (2001 XR31)",16.56,0.289,0.04,0.4367,1.707,22.71
" 68950 (2002 QF15)",16.39,0.178,0.56,0.3443,1.057,25.15
" 69230 Hermes (1937 UB)",17.68,,,0.6239,1.655,6.07
" 85182 (1991 AQ)",17.13,0.242,,0.7776,2.22,3.12
" 85184 (1991 JG1)",18.41,,,0.1845,1.374,33.88
" 85236 (1993 KH)",18.75,,,0.3111,1.234,12.81
" 85275 (1994 LY)",16.49,0.093,1.18,0.4419,1.891,17.71
" 85490 (1997 SE5)",14.80,,,0.6599,3.765,2.58
" 85585 Mjolnir (1998 FG2)",21.64,,,0.3563,1.298,4.08
" 85628 (1998 KV2)",17.28,0.461,0.03,0.3316,1.592,13.03
" 85640 (1998 OX4)",21.14,,,0.4857,1.58,4.52
" 85709 (1998 SG36)",15.92,0.141,0.14,0.3376,1.646,24.83
" 85713 (1998 SS49)",15.77,0.076,0.79,0.6388,1.923,10.79
" 85770 (1998 UP1)",20.72,,,0.3452,0.9976,33.18
" 85774 (1998 UT18)",19.09,0.042,0.01,0.3289,1.403,13.59
" 85804 (1998 WQ5)",15.35,0.167,0.05,0.3544,1.721,27.66
" 85818 (1998 XM4)",15.42,0.168,0.02,0.4160,1.657,62.72
" 85839 (1998 YO4)",16.58,0.405,0.01,0.2481,1.653,9.32
" 85867 (1999 BY9)",18.30,,,0.3022,1.83,0.95
" 85938 (1999 DJ4)",18.73,,,0.4845,1.852,9.14
" 85953 (1999 FK21)",18.09,0.32,,0.7030,0.7389,12.60
" 85989 (1999 JD6)",17.07,0.056,0.02,0.6329,0.8831,17.07
" 85990 (1999 JV6)",20.27,0.095,0.03,0.3115,1.009,5.36
" 86039 (1999 NC43)",15.95,0.14,,0.5789,1.76,7.13
" 86067 (1999 RM28)",16.45,0.314,0.21,0.3234,1.817,30.55
" 86324 (1999 WA2)",15.83,0.191,0.61,0.4345,1.966,34.61
