id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous,close_approach_date,relative_velocity_km_per_s,miss_distance_km,orbiting_body
54205444,(2021 TD7),26.66,0.0123752784,0.0276719637,False,2025-10-07,16.2004007293,19264377.970099245,Earth
54312823,(2022 TD),27.73,0.0075605776,0.0169059655,False,2025-10-07,7.4075552816,15054344.8216696,Earth
54490869,(2024 TP14),21.25,0.1494703242,0.3342258056,False,2025-10-07,34.7587465136,69712527.714254864,Earth
54545158,(2025 RG3),24.15,0.039314701,0.0879103439,False,2025-10-07,9.3830673833,15062308.155646292,Earth
54546916,(2025 RX10),25.2,0.0242412481,0.0542050786,False,2025-10-07,6.5128688748,15775806.669532702,Earth
54546614,(2025 SE3),23.32,0.0576175751,0.1288368146,False,2025-10-07,10.4651203033,22948494.331261848,Earth
54548503,(2025 SM15),27.31,0.0091739206,0.0205135101,False,2025-10-07,10.2821791416,3074354.829691336,Earth
54550522,(2025 TA1),24.72,0.0302381333,0.0676145215,False,2025-10-07,13.1231486078,16080915.444861896,Earth
54550578,(2025 TS1),24.44,0.0343997255,0.0769201245,False,2025-10-07,8.6188209168,11118508.442299569,Earth
54550580,(2025 TT1),24.33,0.0361871997,0.0809170384,False,2025-10-07,14.758429756,10084891.385435598,Earth
54552671,(2025 TU5),26.44,0.0136947774,0.0306224531,False,2025-10-07,11.9480444568,1956269.444861832,Earth
54553040,(2025 TO8),23.07,0.0646479826,0.1445572836,False,2025-10-07,14.6978124289,5803118.44380937,Earth
54553389,(2025 UG),27.64,0.0078805218,0.0176213825,False,2025-10-07,9.7586988997,1962045.074547431,Earth
54553940,(2025 UC3),24.76,0.0296862251,0.0663804174,False,2025-10-07,13.1414552847,10295526.368218771,Earth
54554760,(2025 UN7),26.16,0.0155795524,0.0348369383,False,2025-10-07,10.481806775,3228300.312989276,Earth
2477719,477719 (2010 SG15),25.26,0.0235806068,0.0527278398,False,2025-10-06,5.1613522899,14627344.868727792,Earth
3255174,(2004 SW26),25.66,0.0196134944,0.0438571068,False,2025-10-06,21.2348817181,58913122.359551083,Earth
3648864,(2013 TT5),26.3,0.0146067964,0.0326617897,False,2025-10-06,8.081453263,26175195.622538268,Earth
3781891,(2017 ST16),24.2,0.0384197891,0.0859092601,False,2025-10-06,9.8205556757,39292473.366979449,Earth
3785751,(2017 TS3),22.17,0.0978486812,0.2187963027,False,2025-10-06,16.8683475324,37278274.196450936,Earth
3838904,(2019 ED1),27.63,0.0079168967,0.0177027191,False,2025-10-06,13.8527945685,57668727.169702136,Earth
54131736,(2021 ED5),20.03,0.2621530873,0.5861921237,True,2025-10-06,22.1815380075,10897558.71629947,Earth
54211501,(2021 UO),20.49,0.2121069879,0.4742856434,False,2025-10-06,21.3098932351,25103000.027602105,Earth
54215637,(2021 UV9),23.91,0.0439091446,0.0981838322,False,2025-10-06,6.2439477868,38999447.656489516,Earth
54240297,(2022 BB3),22.93,0.0689532874,0.154184238,False,2025-10-06,16.3663298781,42025803.815114121,Earth
54318589,(2022 UN5),25.13,0.0250354255,0.0559809132,False,2025-10-06,21.6495987978,63484736.402130258,Earth
54416724,(2023 XX12),24.76,0.0296862251,0.0663804174,False,2025-10-06,7.4945176444,46153734.451093348,Earth
54486545,(2024 TK),23.09,0.0640552863,0.1432319745,False,2025-10-06,22.301180174,37118375.615514216,Earth
54488497,(2024 TL5),27.59,0.0080640828,0.0180318372,False,2025-10-06,5.3974063811,9234102.717509828,Earth
54496027,(2024 UJ5),25.64,0.0197949759,0.0442629117,False,2025-10-06,11.3649819643,27012890.138500808,Earth
54547366,(2025 SU6),24.36,0.0356906927,0.079806815,False,2025-10-06,9.072328971,14399495.509445849,Earth
54549119,(2025 SC24),25.29,0.0232570687,0.0520043867,False,2025-10-06,13.3319687938,4528365.911713442,Earth
54549120,(2025 SH25),26.81,0.0115492818,0.0258249791,False,2025-10-06,12.7779832889,3543917.366299815,Earth
54550524,(2025 TC1),26.83,0.0114433973,0.0255882143,False,2025-10-06,5.6969636005,4239477.405117294,Earth
54549688,(2025 SL29),23.92,0.0437074004,0.0977327184,False,2025-10-06,5.5798811733,16015783.613980018,Earth
54553917,(2025 UF2),24.48,0.0337718597,0.0755161741,False,2025-10-06,10.0839320107,23000561.540800034,Earth
